question,answer
The organ that pumps blood throughout the body is the ___.,heart
The gas taken into the lungs that body cells need to make energy is ___.,oxygen
The protein in red blood cells that carries oxygen is ___.,hemoglobin|haemoglobin
The largest organ of the human body is the ___.,skin
The vitamin the body can form in the skin after sunlight exposure is vitamin ___.,D|vitamin D|D3|vitamin D3
The bony structure that protects the brain is the ___.,skull|cranium
The hormone that lowers blood glucose by helping glucose enter cells is ___.,insulin
Blood vessels that generally carry blood away from the heart are called ___.,arteries
The organs that filter blood and remove wastes and extra water to make urine are the ___.,kidneys|kidney
The main muscle used for breathing is the ___.,diaphragm
