question,answer
The largest animal on Earth is the blue ___.,whale|blue whale
The fastest land animal is the ___.,cheetah
The only mammals capable of true sustained flight are ___.,bats|bat
A giant panda's primary food is ___.,bamboo
An animal such as a frog that can live on land and in water is an ___.,amphibian
A baby kangaroo is called a ___.,joey
A social group of lions is called a ___.,pride
An octopus has ___ arms.,eight|8
Emperor penguins live naturally on the continent of ___.,Antarctica
The process by which a caterpillar changes into a butterfly is called ___.,metamorphosis
