question,answer
In standard written English the sentence "She walks to school every day" is grammatically ___.,correct|grammatically correct
In standard written English the sentence "They was happy to see us" is grammatically ___.,incorrect|grammatically incorrect
In standard written English the sentence "Neither of the answers is correct" is grammatically ___.,correct|grammatically correct
In standard written English the sentence "I have went to that store before" is grammatically ___.,incorrect|grammatically incorrect
In standard written English the sentence "The books on the shelf belong to Maya" is grammatically ___.,correct|grammatically correct
In standard written English the sentence "Each of the students have a pencil" is grammatically ___.,incorrect|grammatically incorrect
In standard written English the sentence "By the time we arrived the film had begun" is grammatically ___.,correct|grammatically correct
In standard written English the sentence "He don't like cold weather" is grammatically ___.,incorrect|grammatically incorrect
In standard written English the sentence "Whom did you invite to the party?" is grammatically ___.,correct|grammatically correct
In standard written English the sentence "There is many reasons to study" is grammatically ___.,incorrect|grammatically incorrect
