question,answer
The basic structural and functional unit of life is the ___.,cell
The molecule that carries hereditary information in most organisms is ___.,DNA|deoxyribonucleic acid
The organelle commonly called the powerhouse of the cell is the ___.,mitochondrion|mitochondria
In eukaryotic cells most genetic material is stored in the ___.,nucleus
The type of cell division that produces two genetically identical daughter cells is ___.,mitosis
The maintenance of stable internal conditions in an organism is called ___.,homeostasis
The blood cells primarily responsible for transporting oxygen are ___ blood cells.,red|red blood cells|erythrocytes
The basic unit of heredity is a ___.,gene
The scientist associated with the theory of evolution by natural selection was Charles ___.,Darwin|Charles Darwin
A community of organisms interacting with their nonliving environment forms an ___.,ecosystem
