question,answer
If x plus 5 equals 12 then x equals 7.,True
The solution to 3x equals 18 is x equals 5.,False
Expanding 2 times the quantity x plus 3 gives 2x plus 6.,True
The expression x squared minus 9 factors as the quantity x minus 3 times the quantity x plus 3.,True
The slope of the line y equals 4x plus 2 is 2.,False
If 2x minus 4 equals 10 then x equals 7.,True
The equations x plus y equals 10 and x minus y equals 2 have the solution x equals 4 and y equals 6.,False
For every real number x the expression x squared is negative.,False
The quadratic equation x squared minus 5x plus 6 equals zero has solutions x equals 2 and x equals 3.,True
The expression 3x plus 2x squared combines to 5x cubed.,False
