question,answer
The author of Pride and Prejudice was Jane ___.,Austen|Jane Austen
The author of the novel 1984 was George ___.,Orwell|George Orwell
The captain obsessed with the white whale in Moby-Dick is Captain ___.,Ahab|Captain Ahab
In Romeo and Juliet Juliet's family name is ___.,Capulet
The hero of Homer's Odyssey is ___.,Odysseus|Ulysses
The spider in Charlotte's Web is named ___.,Charlotte
The narrator of The Great Gatsby is Nick ___.,Carraway|Nick Carraway
The lawyer who defends Tom Robinson in To Kill a Mockingbird is Atticus ___.,Finch|Atticus Finch
The author of Alice's Adventures in Wonderland was Lewis ___.,Carroll|Lewis Carroll
The hobbit who is the main character of The Hobbit is Bilbo ___.,Baggins|Bilbo Baggins
