question,answer
The number of protons in an atom is its atomic ___.,number|atomic number
The chemical formula H2O represents ___.,water
A substance with a pH below 7 is classified as an ___.,acid|acidic substance
The chemical name for common table salt is sodium ___.,chloride|sodium chloride
The subatomic particle with a negative electric charge is the ___.,electron
Protons and neutrons are found in an atom's ___.,nucleus
A chemical bond formed by sharing electron pairs is called a ___ bond.,covalent|covalent bond
The change of state from a gas to a liquid is called ___.,condensation
The chemical symbol for carbon is ___.,C
The scientist widely credited with developing the periodic table was Dmitri ___.,Mendeleev|Dmitri Mendeleev
