question,answer
Decomposed organic material added to improve garden soil is called ___.,compost
A layer of material spread over soil to conserve moisture and suppress weeds is called ___.,mulch
The removal of unwanted plants from a garden is called ___.,weeding
Cutting selected branches or stems to improve a plant's growth is called ___.,pruning
A plant that completes its life cycle in one growing season is an ___.,annual|annual plant
A plant that lives and grows for more than two years is a ___.,perennial|perennial plant
Gradually acclimating indoor-grown seedlings to outdoor conditions is called hardening ___.,off|hardening off
Removing faded or spent flowers from a plant is called ___.,deadheading
Moving a plant from one growing location to another is called ___.,transplanting
On a fertilizer label the letter N represents ___.,nitrogen
