question,answer
The process plants use to convert light energy into chemical energy is called ___.,photosynthesis
The green pigment in plants that absorbs light is called ___.,chlorophyll
The plant structures that usually absorb water and minerals from soil are the ___.,roots|root
The vascular tissue that transports water upward from a plant's roots is called ___.,xylem
The tiny pores on leaves that allow gas exchange are called ___.,stomata|stoma
The transfer of pollen from the male part to the female part of a flower is called ___.,pollination
The process by which a seed begins to grow is called ___.,germination
The reproductive structure of an angiosperm is the ___.,flower
Pine trees produce seeds in structures called ___.,cones|cone
Trees that normally shed all their leaves once a year are called ___ trees.,deciduous|deciduous trees
