question,answer
The primary component that executes instructions in a computer is the ___.,CPU|central processing unit|Central Processing Unit (CPU)|processor
The two digits used in the binary number system are 0 and ___.,1|one
The acronym RAM stands for random access ___.,memory|random access memory
A finite sequence of steps for solving a problem is called an ___.,algorithm
An error or defect in a computer program is commonly called a ___.,bug|software bug
The acronym HTML stands for HyperText Markup ___.,Language|HyperText Markup Language
A data structure that follows last in first out ordering is called a ___.,stack
The standard language commonly used to query relational databases is ___.,SQL|Structured Query Language
A program that translates source code into machine code is called a ___.,compiler
The smallest unit of digital information is a ___.,bit|binary digit
