question,answer
The long-term average pattern of weather in a region is called its ___.,climate
The greenhouse gas whose atmospheric increase is driven largely by burning fossil fuels is ___.,carbon dioxide|CO2|CO₂|carbon dioxide (CO2)|carbon dioxide (CO₂)
The natural process by which gases in the atmosphere trap heat is called the ___.,greenhouse effect
Coal oil and natural gas are collectively known as ___.,fossil fuels
The main component of natural gas that is also a potent greenhouse gas is ___.,methane|CH4|CH₄
The part of the Earth system that stores most of the excess heat from global warming is the ___.,ocean|oceans|world ocean|global ocean
The large-scale clearing or removal of forests is called ___.,deforestation|forest clearing
The process in which warming seawater expands and raises sea level is called ___.,thermal expansion|ocean thermal expansion
Energy generated from sunlight is called ___ energy.,solar|solar energy|solar power
The international climate treaty adopted in 2015 is the ___.,Paris Agreement|Paris climate agreement
