question,answer
The original amount of money borrowed on a loan is called the ___.,principal|loan principal
The price paid for borrowing money is called ___.,interest
A unit of ownership in a corporation is called a ___.,share|stock share|share of stock
A debt security that works like an IOU from an issuer is a ___.,bond|bonds
Spreading money among different investments to reduce risk is called ___.,diversification
A general increase in the overall prices of goods and services is called ___.,inflation
The value of a person's assets minus liabilities is called ___.,net worth
A plan for income spending and saving is called a ___.,budget|personal budget
Earning interest on both principal and previously earned interest is called ___.,compound interest|compounding|compound growth
The ease with which an investment can be bought or sold is called ___.,liquidity|marketability
