question,answer
The filmmaker who created the Star Wars saga is George ___.,Lucas|George Lucas
Superman's home planet is ___.,Krypton
Pixar's first feature-length computer-animated film was ___.,Toy Story
The author of the Harry Potter book series is J. K. ___.,Rowling|J. K. Rowling|J.K. Rowling|JK Rowling|Joanne Rowling
The playwright who wrote Hamlet was William ___.,Shakespeare|William Shakespeare
The band whose members included John Lennon and Paul McCartney was The ___.,Beatles|The Beatles
The singer known as the King of Pop was Michael ___.,Jackson|Michael Jackson
The 1997 film Titanic was directed by James ___.,Cameron|James Cameron
The television sitcom Friends is primarily set in ___ City.,New York|New York City|NYC
In The Wizard of Oz Dorothy's destination is the ___ City.,Emerald|Emerald City
