question,answer
Paris is the capital of France.,True
The Pacific Ocean is smaller than the Atlantic Ocean.,False
Pure water freezes at 0 degrees Celsius at standard atmospheric pressure.,True
Mars is the closest planet to the Sun.,False
A square has three sides.,False
An adult human body typically has 206 bones.,True
Light travels faster than sound.,True
Australia is both a country and a continent.,True
Mount Everest is the deepest known point in Earth's oceans.,False
The Python programming language was created by Guido van Rossum.,True
