question,answer
The Great Wall was built primarily in the country of ___.,China
The European Renaissance began in the city-states of modern-day ___.,Italy
The first emperor of the Roman Empire was ___.,Augustus|Augustus Caesar
The Magna Carta was sealed in 1215 in the kingdom of ___.,England
The French Revolution began in the year ___.,1789
The ancient civilization that built the pyramids at Giza was the ___.,Egyptians|Ancient Egyptians|Egypt|Ancient Egypt|Egyptian|Egyptian civilization
World War I ended in the year ___.,1918
The capital of the Inca Empire was ___.,Cusco|Cuzco
The European movable-type printing press is associated with Johannes ___.,Gutenberg|Johannes Gutenberg
The capital of the Byzantine Empire was ___.,Constantinople
