question,answer
In association football a team may have a maximum of ___ players on the field.,eleven|11
A successful free throw in basketball is worth ___ point.,one|1
In baseball a batter receives a strikeout after ___ strikes.,three|3|three strikes|3 strikes
In tennis a score of zero is called ___.,love
The Olympic symbol contains ___ interlocking rings.,five|5
A touchdown in American football is worth ___ points.,six|6|six points|6 points
In golf a score of one under par on a hole is called a ___.,birdie
The object struck by players in ice hockey is called a ___.,puck|hockey puck
In indoor volleyball each team has ___ players on the court.,six|6
The standard marathon distance in kilometers is ___.,42.195|42.195 kilometers|42.195 km
